
2024/04/13 (16:26:39) | ===> btop++ v.1.3.2
2024/04/13 (16:26:39) | INFO: Logger set to INFO
2024/04/13 (16:26:40) | INFO: Logger set to DEBUG
2024/04/13 (16:26:41) | INFO: Logger set to INFO
2024/04/13 (16:26:42) | INFO: Logger set to INFO
2024/04/13 (16:26:42) | INFO: Logger set to DEBUG
2024/04/13 (16:26:43) | INFO: Logger set to INFO
2024/04/13 (16:26:45) | INFO: Logger set to INFO
2024/04/13 (16:26:46) | INFO: Logger set to DEBUG

2024/04/14 (01:26:17) | ===> btop++ v.1.3.2
2024/04/14 (01:26:17) | INFO: Logger set to INFO
2024/04/14 (01:26:18) | INFO: Logger set to DEBUG

2024/04/21 (13:37:39) | ===> btop++ v.1.3.2
2024/04/21 (13:37:39) | INFO: Logger set to INFO
2024/04/21 (13:37:39) | INFO: Logger set to DEBUG
2024/04/21 (13:37:42) | INFO: Logger set to INFO
2024/04/21 (13:37:42) | INFO: Logger set to DEBUG

2024/05/01 (14:48:30) | ===> btop++ v.1.3.2
2024/05/01 (14:48:30) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/05/01 (14:48:30) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/05/01 (14:48:30) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/05/01 (14:48:30) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/05/01 (14:48:30) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/05/01 (23:30:29) | ===> btop++ v.1.3.2
2024/05/01 (23:30:29) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/05/01 (23:30:29) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/05/01 (23:30:29) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/05/01 (23:30:29) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/05/01 (23:30:29) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/05/01 (23:30:35) | ===> btop++ v.1.3.2
2024/05/01 (23:30:35) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/05/01 (23:30:35) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/05/01 (23:30:35) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/05/01 (23:30:35) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/05/01 (23:30:35) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/05/01 (23:47:42) | ===> btop++ v.1.3.2
2024/05/01 (23:47:42) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/05/01 (23:47:42) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/05/01 (23:47:42) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/05/01 (23:47:42) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/05/01 (23:47:42) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/05/01 (23:49:00) | ===> btop++ v.1.3.2
2024/05/01 (23:49:00) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/05/01 (23:49:00) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/05/01 (23:49:00) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/05/01 (23:49:00) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/05/01 (23:49:00) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/05/02 (00:11:31) | ===> btop++ v.1.3.2
2024/05/02 (00:11:31) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/05/02 (00:11:31) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/05/02 (00:11:31) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/05/02 (00:11:31) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/05/02 (00:11:31) | WARNING: ROCm SMI: Failed to get PCIe throughput
